start,stage,mean_pi,bin,mean_H1,scaling
1,Pre-fixation: selected allele frequency at 0.05,0.0110283301742795,NA,NA,X = 25
1,Pre-fixation: selected allele frequency at 0.10,0.011089367215266337,NA,NA,X = 25
1,0.1N generations post-fixation,0.0035583945930566245,1,0.0017246149961276582,X = 25
1,Pre-fixation: selected allele frequency at 0.25,0.010742658467527472,NA,NA,X = 25
1,0.2N generations post-fixation,0.003959945756173722,1,0.002225751436243246,X = 25
1,0.3N generations post-fixation,0.004388878855011013,1,0.002702447163770732,X = 25
1,0.4N generations post-fixation,0.004750418655947136,1,0.003155894166328653,X = 25
1,Pre-fixation: selected allele frequency at 0.50,0.009189551484945055,NA,NA,X = 25
1,0.5N generations post-fixation,0.005057563699174009,1,0.0035872262976133964,X = 25
1,0.6N generations post-fixation,0.005397269589509912,1,0.00399752211262405,X = 25
1,Pre-fixation: selected allele frequency at 0.75,0.006406653606318681,NA,NA,X = 25
1,0.7N generations post-fixation,0.005667585032268723,1,0.004387807564611686,X = 25
1,0.8N generations post-fixation,0.00600110801201102,1,0.004759058570496885,X = 25
1,0.9N generations post-fixation,0.006278261477385549,1,0.0051122034511703746,X = 25
1,1.0N generations post-fixation,0.006506690439558743,1,0.005448125252778792,X = 25
1,1.5N generations post-fixation,0.007819614098563537,1,0.006897394816278361,X = 25
1,2.0N generations post-fixation,0.008877668317980023,1,0.008026087087213378,X = 25
1,2.5N generations post-fixation,0.009448454074417315,1,0.008905113511664212,X = 25
1,3.0N generations post-fixation,0.009890455331201335,1,0.009589699979366978,X = 25
1,3.5N generations post-fixation,0.010279254872980502,1,0.01012285645649398,X = 25
1,4.0N generations post-fixation,0.01064704561328125,1,0.01053807913838008,X = 25
1,New beneficial allele introduced!,0.010891968127243067,NA,NA,X = 25
101,Pre-fixation: selected allele frequency at 0.05,0.010985122697824905,NA,NA,X = 25
101,Pre-fixation: selected allele frequency at 0.10,0.011063273142613949,NA,NA,X = 25
101,0.1N generations post-fixation,0.0035454647999340295,2,0.003687016788646102,X = 25
101,Pre-fixation: selected allele frequency at 0.25,0.010673814604,NA,NA,X = 25
101,0.2N generations post-fixation,0.003948763458719626,2,0.004092445763979735,X = 25
101,0.3N generations post-fixation,0.0043275670412169604,2,0.0044781017348622595,X = 25
101,0.4N generations post-fixation,0.004715066268753855,2,0.004844949042100108,X = 25
101,Pre-fixation: selected allele frequency at 0.50,0.009127256617895605,NA,NA,X = 25
101,0.5N generations post-fixation,0.005107121972142071,2,0.005193904995043603,X = 25
101,0.6N generations post-fixation,0.005455342017791851,2,0.005525842165338143,X = 25
101,Pre-fixation: selected allele frequency at 0.75,0.006363177623681319,NA,NA,X = 25
101,0.7N generations post-fixation,0.005730169811982379,2,0.005841590568807813,X = 25
101,0.8N generations post-fixation,0.0060389366701763085,2,0.0061419397409272864,X = 25
101,0.9N generations post-fixation,0.006287495848703806,2,0.006427640711071759,X = 25
101,1.0N generations post-fixation,0.006603035207335907,2,0.006699407880481582,X = 25
101,1.5N generations post-fixation,0.00798263000640884,2,0.007871894706576938,X = 25
101,2.0N generations post-fixation,0.008838815480205327,2,0.008785028364880909,X = 25
101,2.5N generations post-fixation,0.00957416427463929,2,0.009496177573016898,X = 25
101,3.0N generations post-fixation,0.010194199417797553,2,0.010050021133193815,X = 25
101,3.5N generations post-fixation,0.01062999761988858,2,0.010481354931558653,X = 25
101,4.0N generations post-fixation,0.010701857282700893,2,0.010817278031490352,X = 25
101,New beneficial allele introduced!,0.010967101986405655,NA,NA,X = 25
201,Pre-fixation: selected allele frequency at 0.05,0.010957688977846656,NA,NA,X = 25
201,Pre-fixation: selected allele frequency at 0.10,0.010984693575727622,NA,NA,X = 25
201,0.1N generations post-fixation,0.00514950313062122,3,0.005274637412981717,X = 25
201,Pre-fixation: selected allele frequency at 0.25,0.010708260627142857,NA,NA,X = 25
201,0.2N generations post-fixation,0.005434306306476086,3,0.005602637216791966,X = 25
201,0.3N generations post-fixation,0.00574902241689978,3,0.005914640281406735,X = 25
201,0.4N generations post-fixation,0.006048499345759912,3,0.0062114267770027026,X = 25
201,Pre-fixation: selected allele frequency at 0.50,0.009460853168131868,NA,NA,X = 25
201,0.5N generations post-fixation,0.006367737726762115,3,0.006493738824408037,X = 25
201,0.6N generations post-fixation,0.006639016234856828,3,0.006762282350791032,X = 25
201,Pre-fixation: selected allele frequency at 0.75,0.007261102330384616,NA,NA,X = 25
201,0.7N generations post-fixation,0.0069370579795044055,3,0.007017728854845721,X = 25
201,0.8N generations post-fixation,0.007217860285454546,3,0.007260717085888382,X = 25
201,0.9N generations post-fixation,0.0073996336402647545,3,0.007491854641063539,X = 25
201,1.0N generations post-fixation,0.0075505296521235525,3,0.007711719484653305,X = 25
201,1.5N generations post-fixation,0.008554523046629835,3,0.008660283776618148,X = 25
201,2.0N generations post-fixation,0.009327516162874585,3,0.009399026389993938,X = 25
201,2.5N generations post-fixation,0.009750713021587126,3,0.009974359715779221,X = 25
201,3.0N generations post-fixation,0.010265703583648499,3,0.010422429760427876,X = 25
201,3.5N generations post-fixation,0.010455702664345404,3,0.010771387062071085,X = 25
201,4.0N generations post-fixation,0.010678508660993303,3,0.011043155281849302,X = 25
201,New beneficial allele introduced!,0.010839622230831973,NA,NA,X = 25
301,Pre-fixation: selected allele frequency at 0.05,0.01136384473175639,NA,NA,X = 25
301,Pre-fixation: selected allele frequency at 0.10,0.011321837070911587,NA,NA,X = 25
301,0.1N generations post-fixation,0.006528504486723474,4,0.0065590528963069125,X = 25
301,Pre-fixation: selected allele frequency at 0.25,0.011024163824560439,NA,NA,X = 25
301,0.2N generations post-fixation,0.006735493511269929,4,0.006824411017815198,X = 25
301,0.3N generations post-fixation,0.006939996938463656,4,0.007076827471024115,X = 25
301,0.4N generations post-fixation,0.007206470275936123,4,0.007316933428544544,X = 25
301,Pre-fixation: selected allele frequency at 0.50,0.009885482816538461,NA,NA,X = 25
301,0.5N generations post-fixation,0.007484056474889868,4,0.007545329280335895,X = 25
301,0.6N generations post-fixation,0.007600747509950441,4,0.007762586134993732,X = 25
301,Pre-fixation: selected allele frequency at 0.75,0.00806210560087912,NA,NA,X = 25
301,0.7N generations post-fixation,0.007780038014297357,4,0.007969247247818742,X = 25
301,0.8N generations post-fixation,0.007993423855151515,4,0.008165829379237951,X = 25
301,0.9N generations post-fixation,0.008215071024931053,4,0.008352824086974972,X = 25
301,1.0N generations post-fixation,0.008487978451130723,4,0.008530698955200337,X = 25
301,1.5N generations post-fixation,0.009253895002099447,4,0.00929810562959958,X = 25
301,2.0N generations post-fixation,0.009830365823806881,4,0.009895762548555932,X = 25
301,2.5N generations post-fixation,0.010284992177802441,4,0.010361218225047184,X = 25
301,3.0N generations post-fixation,0.010554589678420467,4,0.0107237154703836,X = 25
301,3.5N generations post-fixation,0.010697843183119777,4,0.01100602860891283,X = 25
301,4.0N generations post-fixation,0.01102937473046875,4,0.011225894302270738,X = 25
301,New beneficial allele introduced!,0.011170834431375747,NA,NA,X = 25
401,Pre-fixation: selected allele frequency at 0.05,0.0119441068137031,NA,NA,X = 25
401,Pre-fixation: selected allele frequency at 0.10,0.01194504508401977,NA,NA,X = 25
401,0.1N generations post-fixation,0.007859354130769654,5,0.007598169615073318,X = 25
401,Pre-fixation: selected allele frequency at 0.25,0.011701487320335165,NA,NA,X = 25
401,0.2N generations post-fixation,0.008127515291808687,5,0.007812849416196435,X = 25
401,0.3N generations post-fixation,0.00834166976305066,5,0.008017059159870707,X = 25
401,0.4N generations post-fixation,0.008549956976872247,5,0.008211309476823423,X = 25
401,Pre-fixation: selected allele frequency at 0.50,0.010720602236868132,NA,NA,X = 25
401,0.5N generations post-fixation,0.00866368987092511,5,0.008396086094027436,X = 25
401,0.6N generations post-fixation,0.008848205120814977,5,0.008571851049271597,X = 25
401,Pre-fixation: selected allele frequency at 0.75,0.00909641251956044,NA,NA,X = 25
401,0.7N generations post-fixation,0.009031150419162996,5,0.008739043846495894,X = 25
401,0.8N generations post-fixation,0.009174249112176309,5,0.008898082554780227,X = 25
401,0.9N generations post-fixation,0.00936409007027027,5,0.009049364853734872,X = 25
401,1.0N generations post-fixation,0.009500391554076117,5,0.009193269027906641,X = 25
401,1.5N generations post-fixation,0.00999337918519337,5,0.009814115721062928,X = 25
401,2.0N generations post-fixation,0.010498495821254162,5,0.010297631611860335,X = 25
401,2.5N generations post-fixation,0.010989196114872365,5,0.010674194166240825,X = 25
401,3.0N generations post-fixation,0.011301090441523916,5,0.010967461378467717,X = 25
401,3.5N generations post-fixation,0.011294191424679665,5,0.01119585811299919,X = 25
401,4.0N generations post-fixation,0.011739441119754465,5,0.011373733668703253,X = 25
401,New beneficial allele introduced!,0.011853756061114737,NA,NA,X = 25
501,Pre-fixation: selected allele frequency at 0.05,0.011412944848178357,NA,NA,X = 25
501,Pre-fixation: selected allele frequency at 0.10,0.011389859273805602,NA,NA,X = 25
501,0.1N generations post-fixation,0.008238818689829577,6,0.008438834936566083,X = 25
501,Pre-fixation: selected allele frequency at 0.25,0.01121871625489011,NA,NA,X = 25
501,0.2N generations post-fixation,0.008394658812094558,6,0.008612515006157706,X = 25
501,0.3N generations post-fixation,0.008541837277588105,6,0.00877772459880259,X = 25
501,0.4N generations post-fixation,0.008837898097081498,6,0.00893487682453618,X = 25
501,Pre-fixation: selected allele frequency at 0.50,0.01033441790901099,NA,NA,X = 25
501,0.5N generations post-fixation,0.008975411467588106,6,0.00908436464577975,X = 25
501,0.6N generations post-fixation,0.009104082160352422,6,0.009226561859951136,X = 25
501,Pre-fixation: selected allele frequency at 0.75,0.009176375475494505,NA,NA,X = 25
501,0.7N generations post-fixation,0.009142037861453744,6,0.009361824034152989,X = 25
501,0.8N generations post-fixation,0.009227782806170799,6,0.009490489394275733,X = 25
501,0.9N generations post-fixation,0.009435000343353556,6,0.009612879670738466,X = 25
501,1.0N generations post-fixation,0.009580443689630447,6,0.009729300902982596,X = 25
501,1.5N generations post-fixation,0.010168432299171271,6,0.010231577765123316,X = 25
501,2.0N generations post-fixation,0.010674924073196448,6,0.010622751378677154,X = 25
501,2.5N generations post-fixation,0.010951226260155383,6,0.010927397695229756,X = 25
501,3.0N generations post-fixation,0.01107964044855395,6,0.01116465648512074,X = 25
501,3.5N generations post-fixation,0.01119224335849025,6,0.011349433816478413,X = 25
501,4.0N generations post-fixation,0.011328021718359374,6,0.011493338546833614,X = 25
501,New beneficial allele introduced!,0.011406121037373573,NA,NA,X = 25
601,Pre-fixation: selected allele frequency at 0.05,0.011704420817292007,NA,NA,X = 25
601,Pre-fixation: selected allele frequency at 0.10,0.011663033203624383,NA,NA,X = 25
601,0.1N generations post-fixation,0.009211166019846069,7,0.00911894927790737,X = 25
601,Pre-fixation: selected allele frequency at 0.25,0.011449568280824175,NA,NA,X = 25
601,0.2N generations post-fixation,0.009308393804562947,7,0.009259459779666461,X = 25
601,0.3N generations post-fixation,0.009460256324063877,7,0.009393117503391068,X = 25
601,0.4N generations post-fixation,0.00960592982544053,7,0.0095202566630097,X = 25
601,Pre-fixation: selected allele frequency at 0.50,0.010761791097527472,NA,NA,X = 25
601,0.5N generations post-fixation,0.009826486428634361,7,0.009641195172645238,X = 25
601,0.6N generations post-fixation,0.009922585818832598,7,0.009756235441565824,X = 25
601,Pre-fixation: selected allele frequency at 0.75,0.009829280932472527,NA,NA,X = 25
601,0.7N generations post-fixation,0.010015640345870044,7,0.00986566513036556,X = 25
